IID	PC1	PC2
LP6005592-DNA_F03	0.0584957	-0.0410804
LP6005592-DNA_G01	0.0243836	0.0560221
LP6005592-DNA_G03	0.0251726	0.0579841
LP6005592-DNA_H01	0.0221552	0.0620631
LP6005592-DNA_H03	0.0487706	-0.055811
LP6005619-DNA_B01	-0.0086165	0.0591202
LP6005619-DNA_C01	-0.0212742	0.0655536
LP6005677-DNA_A02	0.0574246	-0.026804
LP6005677-DNA_A03	0.0411109	0.0428113
LP6005677-DNA_B01	0.0455249	0.0482281
LP6005677-DNA_B02	0.0559346	-0.0297621
LP6005677-DNA_C03	0.0348205	0.0432093
LP6005677-DNA_D01	0.0616164	-0.0590854
LP6005677-DNA_D03	-0.316862	-0.288321
LP6005677-DNA_E01	0.0609287	-0.0578247
LP6005677-DNA_F01	0.0638047	-0.0557478
LP6005677-DNA_G01	-0.230284	0.118093
LP6007068-DNA_A01	0.041916	0.0508892
LP6007069-DNA_A01	0.038781	0.0471381
SS6004467	0.056475	-0.0632059
SS6004468	0.0493368	0.0472198
SS6004469	0.0582585	-0.0667223
SS6004470	-0.22962	0.11962
SS6004471	-0.300348	0.0191626
SS6004472	0.0377217	-0.0408275
SS6004473	-0.318918	-0.286313
SS6004474	0.0403257	0.057821
SS6004475	-0.230239	0.126062
SS6004476	0.0629584	-0.062989
SS6004477	0.0402033	-0.0373002
SS6004478	0.0306387	-0.0300518
SS6004479	0.0629593	-0.0615892
SS6004480	-0.18632	0.0825719
