drs_uri,name,gender,library_id,reference_genome,sample_id,case_id,investigation,experimental_strategy,sample_type,platform
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7f2,LP6005443-DNA_F11.annotated.nh.vcf.gz.tbi,Female,LP6005443-DNA_F11,hs37d5,mixe0042,S_Mixe-3,SGDP-Mixe,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7f3,LP6005519-DNA_E06.srt.aln.bam.bai,Female,LP6005519-DNA_E06,hs37d5,Dus16,S_Dusun-2,SGDP-Dusun,WGS,Genomic_from_saliva,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7f4,LP6005441-DNA_F10.annotated.nh.vcf.gz,Female,LP6005441-DNA_F10,hs37d5,HGDP01044,S_Pima-2,SGDP-Pima,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7f5,LP6005443-DNA_C02.annotated.nh.vcf.gz.tbi,Male,LP6005443-DNA_C02,hs37d5,HGDP01246,S_Xibo-2,SGDP-Xibo,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7f6,LP6005443-DNA_E05.annotated.nh.vcf.gz,Male,LP6005443-DNA_E05,hs37d5,Ale32,S_Tlingit-1,SGDP-Tlingit,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7f7,LP6005677-DNA_F01.srt.aln.bam.bai,Female,LP6005677-DNA_F01,hs37d5,NA11201,S_Quechua-1,SGDP-Quechua,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7f8,LP6005443-DNA_D04.annotated.nh.vcf.gz,Female,LP6005443-DNA_D04,hs37d5,Kor82,S_Itelman-1,SGDP-Itelman,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7f9,LP6005441-DNA_D08.annotated.nh.vcf.gz.tbi,Female,LP6005441-DNA_D08,hs37d5,HGDP01198,S_Miao-2,SGDP-Miao,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7fa,LP6005441-DNA_E03.annotated.nh.vcf.gz,Male,LP6005441-DNA_E03,hs37d5,HGDP00428,S_Burusho-1,SGDP-Burusho,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7fb,LP6005443-DNA_A03.srt.aln.bam.bai,Male,LP6005443-DNA_A03,hs37d5,Ale22,S_Aleut-1,SGDP-Aleut,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7fc,LP6005592-DNA_B04.annotated.nh.vcf.gz,Male,LP6005592-DNA_B04,hs37d5,HG02724,S_Punjabi-1,SGDP-Punjabi,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7fd,LP6005441-DNA_B05.annotated.nh.vcf.gz.tbi,Female,LP6005441-DNA_B05,hs37d5,HGDP00526,S_French-2,SGDP-French,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7fe,LP6005441-DNA_B10.srt.aln.bam.bai,Female,LP6005441-DNA_B10,hs37d5,HGDP00550,S_Papuan-1,SGDP-Papuan,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a7ff,LP6005677-DNA_D03.annotated.nh.vcf.gz.tbi,Female,LP6005677-DNA_D03,hs37d5,SA0342,S_Khomani_San-1,SGDP-Khomani_San,WGS,Genomic_from_saliva,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a800,LP6005443-DNA_G05.annotated.nh.vcf.gz.tbi,Male,LP6005443-DNA_G05,hs37d5,NA13616,S_Ami-2,SGDP-Ami,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a801,LP6005442-DNA_D10.srt.aln.bam.bai,Female,LP6005442-DNA_D10,hs37d5,HG00174,S_Finnish-1,SGDP-Finnish,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57868e4b0ec383d92a802,LP6005443-DNA_A06.srt.aln.bam.bai,Male,LP6005443-DNA_A06,hs37d5,NA17374,S_Greek-2,SGDP-Greek,WGS,Genomic_from_cell_lines,Illumina
