IID	sgdp_id	population	region	country	latitude	longitude	embargo
LP6005441-DNA_B09	S_Naxi-3	Naxi	EastAsia	China	26.0	100.0	FullyPublic
LP6005592-DNA_B03	S_Palestinian-1	Palestinian	WestEurasia	Israel(Central)	32.0	35.0	FullyPublic
LP6005441-DNA_G09	S_Palestinian-2	Palestinian	WestEurasia	Israel(Central)	32.0	35.0	FullyPublic
LP6005677-DNA_F01	S_Quechua-1	Quechua	America	Peru	-13.5	-72.0	FullyPublic
LP6005677-DNA_E01	S_Quechua-2	Quechua	America	Peru	-13.5	-72.0	FullyPublic
LP6005519-DNA_G02	S_Quechua-3	Quechua	America	Peru	-13.5	-72.0	FullyPublic
LP6005592-DNA_B04	S_Punjabi-1	Punjabi	SouthAsia	Pakistan	31.5	74.3	FullyPublic
LP6005442-DNA_A12	S_Punjabi-2	Punjabi	SouthAsia	Pakistan	31.5	74.3	FullyPublic
LP6005442-DNA_B12	S_Punjabi-3	Punjabi	SouthAsia	Pakistan	31.5	74.3	FullyPublic
LP6005441-DNA_B10	S_Papuan-1	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_B08	S_Papuan-10	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_C07	S_Papuan-11	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_G07	S_Papuan-12	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_D08	S_Papuan-13	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_E08	S_Papuan-14	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_H07	S_Papuan-2	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_E07	S_Papuan-4	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_D07	S_Papuan-5	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_C08	S_Papuan-6	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_F07	S_Papuan-7	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_A08	S_Papuan-8	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6005443-DNA_F08	S_Papuan-9	Papuan	Oceania	PapuaNewGuinea	-4.0	143.0	FullyPublic
LP6007076-DNA_A01	BR_Kashmiri_Pandit-1	Kashmiri_Pandit	SouthAsia	India	34.43333333	75.75	SignedLetterNoDelay
LP6007071-DNA_A01	BR_Kharia-1	Kharia	SouthAsia	India	22.5	83.95	SignedLetterNoDelay
LP6007072-DNA_A01	BR_Kurumba-1	Kurumba	SouthAsia	India	10.78333333	76.65	SignedLetterNoDelay
LP6007075-DNA_A01	BR_Mala-1	Mala	SouthAsia	India	17.68333333	83.21666667	SignedLetterNoDelay
LP6007073-DNA_A01	BR_Onge-1	Onge	SouthAsia	India	11.66666667	92.65	SignedLetterNoDelay
LP6007074-DNA_A01	BR_Onge-2	Onge	SouthAsia	India	11.66666667	92.65	SignedLetterNoDelay
LP6005519-DNA_A09	S_Kongo-2	Kongo	Africa	Congo	2.5	11.8	SignedLetterNoDelay
LP6005519-DNA_A03	S_Nahua-1	Nahua	America	Mexico	19.01	-99.06	SignedLetterNoDelay
LP6005519-DNA_B03	S_Nahua-2	Nahua	America	Mexico	19.01	-99.06	SignedLetterNoDelay
LP6005442-DNA_H06	S_Chipewyan-1	Chipewyan	America	Canada	59.6	-107.3	SignedLetterNoDelay
LP6005443-DNA_F05	S_Chipewyan-2	Chipewyan	America	Canada	59.6	-107.3	SignedLetterNoDelay
LP6005442-DNA_A07	S_Cree-1	Cree	America	Canada	50.3	-102.5	SignedLetterNoDelay
LP6005442-DNA_B07	S_Cree-2	Cree	America	Canada	50.3	-102.5	SignedLetterNoDelay
LP6005519-DNA_A12	S_Igbo-1	Igbo	Africa	Nigeria	6.0	7.0	SignedLetterNoDelay
LP6005519-DNA_B12	S_Igbo-2	Igbo	Africa	Nigeria	6.0	7.0	SignedLetterNoDelay
LP6005677-DNA_C04	S_Lemande-1	Lemande	Africa	Cameroon	4.5	11.1	SignedLetterNoDelay
LP6005677-DNA_D04	S_Lemande-2	Lemande	Africa	Cameroon	4.5	11.1	SignedLetterNoDelay
LP6005592-DNA_E05	T_Sherpa-1	Sherpa	SouthAsia	Nepal	27.8	86.7	SignedLetterNoDelay
LP6005592-DNA_F05	T_Sherpa-2	Sherpa	SouthAsia	Nepal	27.8	86.7	SignedLetterNoDelay
LP6005592-DNA_G05	T_Tibetan-1	Tibetan	SouthAsia	Tibet	28.9	84.3	SignedLetterNoDelay
LP6005619-DNA_A01	T_Tibetan-2	Tibetan	SouthAsia	Tibet	28.9	84.3	SignedLetterNoDelay
LP6005519-DNA_C09	T_Aari-1	Aari	Africa	Ethiopia	5.8	36.5	SignedLetterDelay
LP6005519-DNA_D09	T_Aari-2	Aari	Africa	Ethiopia	5.8	36.5	SignedLetterDelay
LP6005519-DNA_E09	T_Agaw-1	Agaw	Africa	Ethiopia	11.0	36.9	SignedLetterDelay
LP6005519-DNA_F09	T_Agaw-2	Agaw	Africa	Ethiopia	11.0	36.9	SignedLetterDelay
LP6005519-DNA_G09	T_Amhara-1	Amhara	Africa	Ethiopia	9.7	39.7	SignedLetterDelay
LP6005519-DNA_H09	T_Amhara-2	Amhara	Africa	Ethiopia	9.7	39.7	SignedLetterDelay
LP6005519-DNA_G06	T_Baka-1	Baka	Africa	Cameroon	2.5	12.7	SignedLetterDelay
LP6005677-DNA_E03	T_Baka-2	Baka	Africa	Cameroon	2.5	12.7	SignedLetterDelay
LP6005677-DNA_F03	T_Bakola-1	Bakola	Africa	Cameroon	3.1	10.6	SignedLetterDelay
LP6005677-DNA_G03	T_Bakola-2	Bakola	Africa	Cameroon	3.1	10.6	SignedLetterDelay
LP6005519-DNA_C07	T_Bedzan-1	Bedzan	Africa	Cameroon	5.3	11.3	SignedLetterDelay
LP6005677-DNA_H03	T_Bedzan-2	Bedzan	Africa	Cameroon	5.3	11.3	SignedLetterDelay
LP6005519-DNA_E08	T_Bulala-1	Bulala	Africa	Chad	12.9	17.4	SignedLetterDelay
LP6005519-DNA_F08	T_Bulala-2	Bulala	Africa	Chad	12.9	17.4	SignedLetterDelay
LP6005519-DNA_G10	T_Elmolo-1	Elmolo	Africa	Kenya	3.0	36.9	SignedLetterDelay
LP6005519-DNA_H10	T_Elmolo-2	Elmolo	Africa	Kenya	3.0	36.9	SignedLetterDelay
LP6005677-DNA_A04	T_Fulani-1	Fulani	Africa	Cameroon	11.1	14.1	SignedLetterDelay
LP6005677-DNA_B04	T_Fulani-2	Fulani	Africa	Cameroon	11.1	14.1	SignedLetterDelay
LP6005519-DNA_D12	T_Hadza-1	Hadza	Africa	Tanzania	-3.8	35.3	SignedLetterDelay
LP6005519-DNA_C12	T_Hadza-2	Hadza	Africa	Tanzania	-3.8	35.3	SignedLetterDelay
LP6005519-DNA_F12	T_Iraqw-1	Iraqw	Africa	Tanzania	-3.7	35.5	SignedLetterDelay
LP6005519-DNA_E12	T_Iraqw-2	Iraqw	Africa	Tanzania	-3.7	35.5	SignedLetterDelay
LP6005519-DNA_C08	T_Kaba-1	Kaba	Africa	CentralAfricanRepublic	7.2	16.4	SignedLetterDelay
LP6005519-DNA_D08	T_Kaba-2	Kaba	Africa	CentralAfricanRepublic	7.2	16.4	SignedLetterDelay
LP6005519-DNA_A11	T_Kikuyu-1	Kikuyu	Africa	Kenya	0.4	35.6	SignedLetterDelay
LP6005519-DNA_B11	T_Kikuyu-2	Kikuyu	Africa	Kenya	0.4	35.6	SignedLetterDelay
LP6005519-DNA_G08	T_Laka-1	Laka	Africa	Chad	8.3	16.2	SignedLetterDelay
LP6005677-DNA_E04	T_Laka-2	Laka	Africa	Chad	8.3	16.2	SignedLetterDelay
LP6005519-DNA_A08	T_Mada-1	Mada	Africa	Cameroon	10.8	14.2	SignedLetterDelay
LP6005519-DNA_B08	T_Mada-2	Mada	Africa	Cameroon	10.8	14.2	SignedLetterDelay
LP6005519-DNA_A10	T_Mursi-1	Mursi	Africa	Ethiopia	5.9	36.2	SignedLetterDelay
LP6005519-DNA_B10	T_Mursi-2	Mursi	Africa	Ethiopia	5.9	36.2	SignedLetterDelay
LP6005519-DNA_E10	T_Ngumba-1	Ngumba	Africa	Cameroon	3.0	10.5	SignedLetterDelay
LP6005519-DNA_F10	T_Ngumba-2	Ngumba	Africa	Cameroon	3.0	10.5	SignedLetterDelay
LP6005519-DNA_C11	T_Ogiek-1	Ogiek	Africa	Kenya	-0.4	35.9	SignedLetterDelay
LP6005519-DNA_D11	T_Ogiek-2	Ogiek	Africa	Kenya	-0.4	35.9	SignedLetterDelay
LP6005519-DNA_E11	T_Rendille-1	Rendille	Africa	Kenya	2.6	37.7	SignedLetterDelay
LP6005519-DNA_F11	T_Rendille-2	Rendille	Africa	Kenya	2.6	37.7	SignedLetterDelay
LP6005519-DNA_H12	T_Sandawe-1	Sandawe	Africa	Tanzania	-5.5	35.5	SignedLetterDelay
LP6005519-DNA_G12	T_Sandawe-2	Sandawe	Africa	Tanzania	-5.5	35.5	SignedLetterDelay
LP6005519-DNA_G11	T_Sengwer-1	Sengwer	Africa	Kenya	1.1	35.3	SignedLetterDelay
LP6005519-DNA_H11	T_Sengwer-2	Sengwer	Africa	Kenya	1.1	35.3	SignedLetterDelay
LP6005519-DNA_C10	T_Tikar_South-1	Tikar_South	Africa	Cameroon	5.4	11.4	SignedLetterDelay
LP6005519-DNA_D10	T_Tikar_South-2	Tikar_South	Africa	Cameroon	5.4	11.4	SignedLetterDelay
LP6005441-DNA_A09	S_Naxi-2	Naxi	EastAsia	China	26.0	100.0	FullyPublic
