IID	PC1	PC2
LP6005592-DNA_E02	-0.125979	-0.0109019
LP6005592-DNA_F01	-0.0730079	-0.012473
LP6005592-DNA_F03	0.0226619	-0.0728411
LP6005592-DNA_G01	-0.0405094	0.00534122
LP6005592-DNA_G03	-0.0315405	0.0146671
LP6005592-DNA_H01	-0.0430532	0.0222434
LP6005592-DNA_H03	0.063142	-0.0443164
LP6005619-DNA_B01	-0.00960616	0.0452224
LP6005619-DNA_C01	-0.0663524	0.0373081
LP6005677-DNA_A02	0.0205197	-0.0618132
LP6005677-DNA_A03	-0.0862581	0.0304591
LP6005677-DNA_B01	-0.0820339	-0.00378096
LP6005677-DNA_B02	0.0194175	-0.0395658
LP6005677-DNA_C03	-0.0901848	-0.0230215
LP6005677-DNA_D01	0.0551345	-0.101863
LP6005677-DNA_D03	0.072202	0.221423
LP6005677-DNA_E01	0.0770811	-0.112968
LP6005677-DNA_F01	0.0677279	-0.0809019
LP6005677-DNA_G01	0.068473	0.192655
LP6007068-DNA_A01	-0.0900262	0.0125958
LP6007069-DNA_A01	-0.0910516	-0.0120532
