IID	PC1	PC2
Chagyrskaya8	63.4949254880462	-15.5418031761882
Denisova3	30.8844727501203	2.18997841832766
Denisova11	26.5914459647779	-7.56791680669156
Denisova25	65.1236590499599	-15.3147058035646
Denisova5	62.9548729062175	-14.9146723572044
Goyet	36.6550217822915	-7.25741346251207
Hohlenstein_Stadel	0	0
Les_Cottes	31.3822698040982	-4.58641090978674
L4741	9.76446848785782	-2.27908126430515
Mezmaiskaya2	20.3450806980742	-1.51053123854167
SP4903	0.611081095369776	0.712277980579072
El_Sidron	-0.0105885681123798	0.0108530734101341
Spy	10.9755094748329	-1.62673552218745
Vi33.19	62.0342969298997	-15.1681259715955
Vindija87	18.4952330564464	-4.00595182636325
