IID	PC1	PC2
LP6005592-DNA_F03	0.0399574	-0.0463693
LP6005592-DNA_G01	0.0169456	0.0612514
LP6005592-DNA_G03	0.0157754	0.0629456
LP6005592-DNA_H01	0.0160276	0.0588731
LP6005592-DNA_H03	0.0341847	-0.0680293
LP6005619-DNA_B01	-0.0103308	0.0731018
LP6005619-DNA_C01	-0.0156938	0.0736631
LP6005677-DNA_A02	0.0382346	-0.0321417
LP6005677-DNA_A03	0.0288204	0.0448887
LP6005677-DNA_B01	0.0292301	0.0533878
LP6005677-DNA_B02	0.0379414	-0.0332922
LP6005677-DNA_C03	0.0277826	0.0456325
LP6005677-DNA_D01	0.0444986	-0.0639064
LP6005677-DNA_D03	-0.254499	-0.327339
LP6005677-DNA_E01	0.045752	-0.0683814
LP6005677-DNA_F01	0.0449672	-0.0628151
LP6005677-DNA_G01	-0.176464	0.126212
LP6007068-DNA_A01	0.0277217	0.0552704
LP6007069-DNA_A01	0.0276194	0.0540566
